,country,year,sex,age,suicides_no,population,suicides/100k pop,country-year,HDI for year,gdp_for_year ($),gdp_per_capita ($),generation
35,Kiribati,1992,male,75+ years,0,286,0.0,Kiribati1992,,47737955,759,G.I. Generation
36,Kiribati,1994,male,35-54 years,3,6529,45.95,Kiribati1994,,54832578,845,Boomers
37,Kiribati,1994,male,15-24 years,3,6566,45.69,Kiribati1994,,54832578,845,Generation X
38,Kiribati,1994,male,25-34 years,2,6053,33.04,Kiribati1994,,54832578,845,Boomers
39,Kiribati,1994,female,15-24 years,1,6528,15.32,Kiribati1994,,54832578,845,Generation X
40,Kiribati,1994,female,5-14 years,1,9619,10.4,Kiribati1994,,54832578,845,Millenials
41,Kiribati,1994,female,25-34 years,0,6565,0.0,Kiribati1994,,54832578,845,Boomers
42,Kiribati,1994,female,35-54 years,0,6893,0.0,Kiribati1994,,54832578,845,Boomers
43,Kiribati,1994,female,55-74 years,0,2878,0.0,Kiribati1994,,54832578,845,Silent
44,Kiribati,1994,female,75+ years,0,481,0.0,Kiribati1994,,54832578,845,G.I. Generation
45,Kiribati,1994,male,5-14 years,0,10069,0.0,Kiribati1994,,54832578,845,Millenials
46,Kiribati,1994,male,55-74 years,0,2399,0.0,Kiribati1994,,54832578,845,Silent
47,Kiribati,1994,male,75+ years,0,291,0.0,Kiribati1994,,54832578,845,G.I. Generation
48,Kiribati,1995,male,55-74 years,1,2402,41.63,Kiribati1995,,56338028,855,Silent
49,Kiribati,1995,male,15-24 years,1,6630,15.08,Kiribati1995,,56338028,855,Generation X
50,Kiribati,1995,female,15-24 years,0,6571,0.0,Kiribati1995,,56338028,855,Generation X
51,Kiribati,1995,female,25-34 years,0,6640,0.0,Kiribati1995,,56338028,855,Generation X
52,Kiribati,1995,female,35-54 years,0,7072,0.0,Kiribati1995,,56338028,855,Boomers
53,Kiribati,1995,female,5-14 years,0,9815,0.0,Kiribati1995,,56338028,855,Millenials
54,Kiribati,1995,female,55-74 years,0,2912,0.0,Kiribati1995,,56338028,855,Silent
55,Kiribati,1995,female,75+ years,0,479,0.0,Kiribati1995,,56338028,855,G.I. Generation
56,Kiribati,1995,male,25-34 years,0,6064,0.0,Kiribati1995,,56338028,855,Generation X
57,Kiribati,1995,male,35-54 years,0,6710,0.0,Kiribati1995,,56338028,855,Boomers
58,Kiribati,1995,male,5-14 years,0,10341,0.0,Kiribati1995,,56338028,855,Millenials
59,Kiribati,1995,male,75+ years,0,287,0.0,Kiribati1995,,56338028,855,G.I. Generation
60,Kiribati,2001,female,15-24 years,0,8197,0.0,Kiribati2001,,63101272,854,Millenials
61,Kiribati,2001,female,25-34 years,0,6348,0.0,Kiribati2001,,63101272,854,Generation X
62,Kiribati,2001,female,35-54 years,0,8720,0.0,Kiribati2001,,63101272,854,Boomers
63,Kiribati,2001,female,5-14 years,0,10585,0.0,Kiribati2001,,63101272,854,Millenials
64,Kiribati,2001,female,55-74 years,0,3228,0.0,Kiribati2001,,63101272,854,Silent
65,Kiribati,2001,female,75+ years,0,539,0.0,Kiribati2001,,63101272,854,Silent
66,Kiribati,2001,male,15-24 years,0,8151,0.0,Kiribati2001,,63101272,854,Millenials
67,Kiribati,2001,male,25-34 years,0,5692,0.0,Kiribati2001,,63101272,854,Generation X
68,Kiribati,2001,male,35-54 years,0,8117,0.0,Kiribati2001,,63101272,854,Boomers
69,Kiribati,2001,male,5-14 years,0,11403,0.0,Kiribati2001,,63101272,854,Millenials
70,Kiribati,2001,male,55-74 years,0,2577,0.0,Kiribati2001,,63101272,854,Silent
71,Kiribati,2001,male,75+ years,0,294,0.0,Kiribati2001,,63101272,854,Silent
72,Kiribati,1998,male,15-24 years,2,7215,27.72,Kiribati1998,,65334841,939,Generation X
73,Kiribati,1998,male,35-54 years,1,7353,13.6,Kiribati1998,,65334841,939,Boomers
74,Kiribati,1998,male,5-14 years,1,10956,9.13,Kiribati1998,,65334841,939,Millenials
75,Kiribati,1998,female,15-24 years,0,7231,0.0,Kiribati1998,,65334841,939,Generation X
76,Kiribati,1998,female,25-34 years,0,6532,0.0,Kiribati1998,,65334841,939,Generation X
77,Kiribati,1998,female,35-54 years,0,7809,0.0,Kiribati1998,,65334841,939,Boomers
78,Kiribati,1998,female,5-14 years,0,10285,0.0,Kiribati1998,,65334841,939,Millenials
79,Kiribati,1998,female,55-74 years,0,3029,0.0,Kiribati1998,,65334841,939,Silent
80,Kiribati,1998,female,75+ years,0,516,0.0,Kiribati1998,,65334841,939,G.I. Generation
81,Kiribati,1998,male,25-34 years,0,5909,0.0,Kiribati1998,,65334841,939,Generation X
82,Kiribati,1998,male,55-74 years,0,2431,0.0,Kiribati1998,,65334841,939,Silent
83,Kiribati,1998,male,75+ years,0,304,0.0,Kiribati1998,,65334841,939,G.I. Generation
84,Kiribati,1996,male,5-14 years,2,10569,18.92,Kiribati1996,,66515377,991,Millenials
85,Kiribati,1996,female,25-34 years,1,6635,15.07,Kiribati1996,,66515377,991,Generation X
86,Kiribati,1996,female,15-24 years,1,6716,14.89,Kiribati1996,,66515377,991,Generation X
87,Kiribati,1996,male,15-24 years,1,6768,14.78,Kiribati1996,,66515377,991,Generation X
88,Kiribati,1996,female,35-54 years,1,7304,13.69,Kiribati1996,,66515377,991,Boomers
89,Kiribati,1996,female,5-14 years,0,10009,0.0,Kiribati1996,,66515377,991,Millenials
90,Kiribati,1996,female,55-74 years,0,2947,0.0,Kiribati1996,,66515377,991,Silent
91,Kiribati,1996,female,75+ years,0,497,0.0,Kiribati1996,,66515377,991,G.I. Generation
92,Kiribati,1996,male,25-34 years,0,6063,0.0,Kiribati1996,,66515377,991,Generation X
93,Kiribati,1996,male,35-54 years,0,6914,0.0,Kiribati1996,,66515377,991,Boomers
94,Kiribati,1996,male,55-74 years,0,2407,0.0,Kiribati1996,,66515377,991,Silent
95,Kiribati,1996,male,75+ years,0,297,0.0,Kiribati1996,,66515377,991,G.I. Generation
96,Kiribati,2000,female,15-24 years,0,7870,0.0,Kiribati2000,,67254174,928,Generation X
97,Kiribati,2000,female,25-34 years,0,6442,0.0,Kiribati2000,,67254174,928,Generation X
98,Kiribati,2000,female,35-54 years,0,8455,0.0,Kiribati2000,,67254174,928,Boomers
99,Kiribati,2000,female,5-14 years,0,10475,0.0,Kiribati2000,,67254174,928,Millenials
100,Kiribati,2000,female,55-74 years,0,3159,0.0,Kiribati2000,,67254174,928,Silent
101,Kiribati,2000,female,75+ years,0,522,0.0,Kiribati2000,,67254174,928,G.I. Generation
102,Kiribati,2000,male,15-24 years,0,7812,0.0,Kiribati2000,,67254174,928,Generation X
103,Kiribati,2000,male,25-34 years,0,5737,0.0,Kiribati2000,,67254174,928,Generation X
104,Kiribati,2000,male,35-54 years,0,7888,0.0,Kiribati2000,,67254174,928,Boomers
105,Kiribati,2000,male,5-14 years,0,11289,0.0,Kiribati2000,,67254174,928,Millenials
106,Kiribati,2000,male,55-74 years,0,2513,0.0,Kiribati2000,,67254174,928,Silent
107,Kiribati,2000,male,75+ years,0,278,0.0,Kiribati2000,,67254174,928,G.I. Generation
108,Kiribati,1997,male,25-34 years,2,6005,33.31,Kiribati1997,,67537480,988,Generation X
109,Kiribati,1997,male,15-24 years,2,6964,28.72,Kiribati1997,,67537480,988,Generation X
110,Kiribati,1997,male,35-54 years,1,7127,14.03,Kiribati1997,,67537480,988,Boomers
111,Kiribati,1997,female,15-24 years,0,6944,0.0,Kiribati1997,,67537480,988,Generation X
112,Kiribati,1997,female,25-34 years,0,6591,0.0,Kiribati1997,,67537480,988,Generation X
113,Kiribati,1997,female,35-54 years,0,7543,0.0,Kiribati1997,,67537480,988,Boomers
114,Kiribati,1997,female,5-14 years,0,10166,0.0,Kiribati1997,,67537480,988,Millenials
115,Kiribati,1997,female,55-74 years,0,2985,0.0,Kiribati1997,,67537480,988,Silent
116,Kiribati,1997,female,75+ years,0,509,0.0,Kiribati1997,,67537480,988,G.I. Generation
117,Kiribati,1997,male,5-14 years,0,10775,0.0,Kiribati1997,,67537480,988,Millenials
118,Kiribati,1997,male,55-74 years,0,2417,0.0,Kiribati1997,,67537480,988,Silent
119,Kiribati,1997,male,75+ years,0,302,0.0,Kiribati1997,,67537480,988,G.I. Generation
120,Kiribati,1999,female,15-24 years,0,7547,0.0,Kiribati1999,,69032258,973,Generation X
121,Kiribati,1999,female,25-34 years,0,6481,0.0,Kiribati1999,,69032258,973,Generation X
122,Kiribati,1999,female,35-54 years,0,8111,0.0,Kiribati1999,,69032258,973,Boomers
123,Kiribati,1999,female,5-14 years,0,10385,0.0,Kiribati1999,,69032258,973,Millenials
124,Kiribati,1999,female,55-74 years,0,3089,0.0,Kiribati1999,,69032258,973,Silent
125,Kiribati,1999,female,75+ years,0,521,0.0,Kiribati1999,,69032258,973,G.I. Generation
126,Kiribati,1999,male,15-24 years,0,7503,0.0,Kiribati1999,,69032258,973,Generation X
127,Kiribati,1999,male,25-34 years,0,5815,0.0,Kiribati1999,,69032258,973,Generation X
128,Kiribati,1999,male,35-54 years,0,7604,0.0,Kiribati1999,,69032258,973,Boomers
129,Kiribati,1999,male,5-14 years,0,11126,0.0,Kiribati1999,,69032258,973,Millenials
130,Kiribati,1999,male,55-74 years,0,2463,0.0,Kiribati1999,,69032258,973,Silent
131,Kiribati,1999,male,75+ years,0,293,0.0,Kiribati1999,,69032258,973,G.I. Generation
132,Dominica,1985,female,15-24 years,0,8900,0.0,Dominica1985,,98585185,1485,Generation X
133,Dominica,1985,female,25-34 years,0,5100,0.0,Dominica1985,,98585185,1485,Boomers
134,Dominica,1985,female,35-54 years,0,5400,0.0,Dominica1985,,98585185,1485,Silent
135,Dominica,1985,female,5-14 years,0,8600,0.0,Dominica1985,,98585185,1485,Generation X
136,Dominica,1985,female,55-74 years,0,3800,0.0,Dominica1985,,98585185,1485,G.I. Generation
137,Dominica,1985,female,75+ years,0,1200,0.0,Dominica1985,,98585185,1485,G.I. Generation
138,Dominica,1985,male,15-24 years,0,9500,0.0,Dominica1985,,98585185,1485,Generation X
139,Dominica,1985,male,25-34 years,0,5800,0.0,Dominica1985,,98585185,1485,Boomers
140,Dominica,1985,male,35-54 years,0,4900,0.0,Dominica1985,,98585185,1485,Silent
141,Dominica,1985,male,5-14 years,0,9300,0.0,Dominica1985,,98585185,1485,Generation X
142,Dominica,1985,male,55-74 years,0,3200,0.0,Dominica1985,,98585185,1485,G.I. Generation
143,Dominica,1985,male,75+ years,0,700,0.0,Dominica1985,,98585185,1485,G.I. Generation
144,Saint Vincent and Grenadines,1985,male,35-54 years,2,6100,32.79,Saint Vincent and Grenadines1985,,145641704,1622,Silent
145,Saint Vincent and Grenadines,1985,female,15-24 years,0,11900,0.0,Saint Vincent and Grenadines1985,,145641704,1622,Generation X
146,Saint Vincent and Grenadines,1985,female,25-34 years,0,9200,0.0,Saint Vincent and Grenadines1985,,145641704,1622,Boomers
147,Saint Vincent and Grenadines,1985,female,35-54 years,0,7400,0.0,Saint Vincent and Grenadines1985,,145641704,1622,Silent
148,Saint Vincent and Grenadines,1985,female,5-14 years,0,12300,0.0,Saint Vincent and Grenadines1985,,145641704,1622,Generation X
149,Saint Vincent and Grenadines,1985,female,55-74 years,0,4100,0.0,Saint Vincent and Grenadines1985,,145641704,1622,G.I. Generation
150,Saint Vincent and Grenadines,1985,female,75+ years,0,1000,0.0,Saint Vincent and Grenadines1985,,145641704,1622,G.I. Generation
151,Saint Vincent and Grenadines,1985,male,15-24 years,0,12100,0.0,Saint Vincent and Grenadines1985,,145641704,1622,Generation X
152,Saint Vincent and Grenadines,1985,male,25-34 years,0,9300,0.0,Saint Vincent and Grenadines1985,,145641704,1622,Boomers
153,Saint Vincent and Grenadines,1985,male,5-14 years,0,12800,0.0,Saint Vincent and Grenadines1985,,145641704,1622,Generation X
154,Saint Vincent and Grenadines,1985,male,55-74 years,0,2900,0.0,Saint Vincent and Grenadines1985,,145641704,1622,G.I. Generation
155,Saint Vincent and Grenadines,1985,male,75+ years,0,700,0.0,Saint Vincent and Grenadines1985,,145641704,1622,G.I. Generation
156,Saint Vincent and Grenadines,1986,female,15-24 years,0,12100,0.0,Saint Vincent and Grenadines1986,,160846667,1771,Generation X
157,Saint Vincent and Grenadines,1986,female,25-34 years,0,9300,0.0,Saint Vincent and Grenadines1986,,160846667,1771,Boomers
158,Saint Vincent and Grenadines,1986,female,35-54 years,0,7400,0.0,Saint Vincent and Grenadines1986,,160846667,1771,Silent
159,Saint Vincent and Grenadines,1986,female,5-14 years,0,12500,0.0,Saint Vincent and Grenadines1986,,160846667,1771,Generation X
160,Saint Vincent and Grenadines,1986,female,55-74 years,0,4100,0.0,Saint Vincent and Grenadines1986,,160846667,1771,G.I. Generation
161,Saint Vincent and Grenadines,1986,female,75+ years,0,1000,0.0,Saint Vincent and Grenadines1986,,160846667,1771,G.I. Generation
162,Saint Vincent and Grenadines,1986,male,15-24 years,0,12300,0.0,Saint Vincent and Grenadines1986,,160846667,1771,Generation X
163,Saint Vincent and Grenadines,1986,male,25-34 years,0,9400,0.0,Saint Vincent and Grenadines1986,,160846667,1771,Boomers
164,Saint Vincent and Grenadines,1986,male,35-54 years,0,6100,0.0,Saint Vincent and Grenadines1986,,160846667,1771,Silent
165,Saint Vincent and Grenadines,1986,male,5-14 years,0,13000,0.0,Saint Vincent and Grenadines1986,,160846667,1771,Generation X
166,Saint Vincent and Grenadines,1986,male,55-74 years,0,2900,0.0,Saint Vincent and Grenadines1986,,160846667,1771,G.I. Generation
167,Saint Vincent and Grenadines,1986,male,75+ years,0,700,0.0,Saint Vincent and Grenadines1986,,160846667,1771,G.I. Generation
168,Grenada,1985,male,55-74 years,1,3987,25.08,Grenada1985,,167728444,1965,G.I. Generation
169,Grenada,1985,female,15-24 years,0,11725,0.0,Grenada1985,,167728444,1965,Generation X
170,Grenada,1985,female,25-34 years,0,7124,0.0,Grenada1985,,167728444,1965,Boomers
171,Grenada,1985,female,35-54 years,0,6880,0.0,Grenada1985,,167728444,1965,Silent
172,Grenada,1985,female,5-14 years,0,11584,0.0,Grenada1985,,167728444,1965,Generation X
173,Grenada,1985,female,55-74 years,0,5254,0.0,Grenada1985,,167728444,1965,G.I. Generation
174,Grenada,1985,female,75+ years,0,1510,0.0,Grenada1985,,167728444,1965,G.I. Generation
175,Grenada,1985,male,15-24 years,0,11604,0.0,Grenada1985,,167728444,1965,Generation X
176,Grenada,1985,male,25-34 years,0,6933,0.0,Grenada1985,,167728444,1965,Boomers
177,Grenada,1985,male,35-54 years,0,5919,0.0,Grenada1985,,167728444,1965,Silent
178,Grenada,1985,male,5-14 years,0,11950,0.0,Grenada1985,,167728444,1965,Generation X
179,Grenada,1985,male,75+ years,0,905,0.0,Grenada1985,,167728444,1965,G.I. Generation
180,Seychelles,1985,male,35-54 years,3,4400,68.18,Seychelles1985,,168887539,2947,Silent
181,Seychelles,1985,male,15-24 years,3,7700,38.96,Seychelles1985,,168887539,2947,Generation X
182,Seychelles,1985,male,55-74 years,1,2800,35.71,Seychelles1985,,168887539,2947,G.I. Generation
183,Seychelles,1985,female,15-24 years,1,7500,13.33,Seychelles1985,,168887539,2947,Generation X
184,Seychelles,1985,female,25-34 years,0,4200,0.0,Seychelles1985,,168887539,2947,Boomers
185,Seychelles,1985,female,35-54 years,0,4800,0.0,Seychelles1985,,168887539,2947,Silent
186,Seychelles,1985,female,5-14 years,0,7700,0.0,Seychelles1985,,168887539,2947,Generation X
187,Seychelles,1985,female,55-74 years,0,3500,0.0,Seychelles1985,,168887539,2947,G.I. Generation
188,Seychelles,1985,female,75+ years,0,1000,0.0,Seychelles1985,,168887539,2947,G.I. Generation
189,Seychelles,1985,male,25-34 years,0,5200,0.0,Seychelles1985,,168887539,2947,Boomers
190,Seychelles,1985,male,5-14 years,0,7900,0.0,Seychelles1985,,168887539,2947,Generation X
191,Seychelles,1985,male,75+ years,0,600,0.0,Seychelles1985,,168887539,2947,G.I. Generation
192,Saint Vincent and Grenadines,1987,female,15-24 years,0,11800,0.0,Saint Vincent and Grenadines1987,,175580630,1908,Generation X
193,Saint Vincent and Grenadines,1987,female,25-34 years,0,7722,0.0,Saint Vincent and Grenadines1987,,175580630,1908,Boomers
194,Saint Vincent and Grenadines,1987,female,35-54 years,0,7471,0.0,Saint Vincent and Grenadines1987,,175580630,1908,Silent
195,Saint Vincent and Grenadines,1987,female,5-14 years,0,13490,0.0,Saint Vincent and Grenadines1987,,175580630,1908,Generation X
196,Saint Vincent and Grenadines,1987,female,55-74 years,0,4835,0.0,Saint Vincent and Grenadines1987,,175580630,1908,G.I. Generation
197,Saint Vincent and Grenadines,1987,female,75+ years,0,1500,0.0,Saint Vincent and Grenadines1987,,175580630,1908,G.I. Generation
198,Saint Vincent and Grenadines,1987,male,15-24 years,0,12015,0.0,Saint Vincent and Grenadines1987,,175580630,1908,Generation X
199,Saint Vincent and Grenadines,1987,male,25-34 years,0,7324,0.0,Saint Vincent and Grenadines1987,,175580630,1908,Boomers
200,Saint Vincent and Grenadines,1987,male,35-54 years,0,7072,0.0,Saint Vincent and Grenadines1987,,175580630,1908,Silent
201,Saint Vincent and Grenadines,1987,male,5-14 years,0,13801,0.0,Saint Vincent and Grenadines1987,,175580630,1908,Generation X
202,Saint Vincent and Grenadines,1987,male,55-74 years,0,4058,0.0,Saint Vincent and Grenadines1987,,175580630,1908,G.I. Generation
203,Saint Vincent and Grenadines,1987,male,75+ years,0,948,0.0,Saint Vincent and Grenadines1987,,175580630,1908,G.I. Generation
204,Seychelles,1986,male,35-54 years,1,4300,23.26,Seychelles1986,,207850624,3621,Silent
205,Seychelles,1986,female,15-24 years,0,7500,0.0,Seychelles1986,,207850624,3621,Generation X
206,Seychelles,1986,female,25-34 years,0,4500,0.0,Seychelles1986,,207850624,3621,Boomers
207,Seychelles,1986,female,35-54 years,0,4700,0.0,Seychelles1986,,207850624,3621,Silent
208,Seychelles,1986,female,5-14 years,0,7700,0.0,Seychelles1986,,207850624,3621,Generation X
209,Seychelles,1986,female,55-74 years,0,3500,0.0,Seychelles1986,,207850624,3621,G.I. Generation
210,Seychelles,1986,female,75+ years,0,1000,0.0,Seychelles1986,,207850624,3621,G.I. Generation
211,Seychelles,1986,male,15-24 years,0,7500,0.0,Seychelles1986,,207850624,3621,Generation X
212,Seychelles,1986,male,25-34 years,0,5500,0.0,Seychelles1986,,207850624,3621,Boomers
213,Seychelles,1986,male,5-14 years,0,8000,0.0,Seychelles1986,,207850624,3621,Generation X
214,Seychelles,1986,male,55-74 years,0,2700,0.0,Seychelles1986,,207850624,3621,G.I. Generation
215,Seychelles,1986,male,75+ years,0,500,0.0,Seychelles1986,,207850624,3621,G.I. Generation
216,Saint Kitts and Nevis,1990,female,15-24 years,0,4900,0.0,Saint Kitts and Nevis1990,,208740444,5339,Generation X
217,Saint Kitts and Nevis,1990,female,25-34 years,0,2600,0.0,Saint Kitts and Nevis1990,,208740444,5339,Boomers
218,Saint Kitts and Nevis,1990,female,35-54 years,0,2900,0.0,Saint Kitts and Nevis1990,,208740444,5339,Silent
219,Saint Kitts and Nevis,1990,female,5-14 years,0,5700,0.0,Saint Kitts and Nevis1990,,208740444,5339,Generation X
220,Saint Kitts and Nevis,1990,female,55-74 years,0,3300,0.0,Saint Kitts and Nevis1990,,208740444,5339,G.I. Generation
221,Saint Kitts and Nevis,1990,female,75+ years,0,1000,0.0,Saint Kitts and Nevis1990,,208740444,5339,G.I. Generation
222,Saint Kitts and Nevis,1990,male,15-24 years,0,4900,0.0,Saint Kitts and Nevis1990,,208740444,5339,Generation X
223,Saint Kitts and Nevis,1990,male,25-34 years,0,2400,0.0,Saint Kitts and Nevis1990,,208740444,5339,Boomers
224,Saint Kitts and Nevis,1990,male,35-54 years,0,2400,0.0,Saint Kitts and Nevis1990,,208740444,5339,Silent
225,Saint Kitts and Nevis,1990,male,5-14 years,0,6000,0.0,Saint Kitts and Nevis1990,,208740444,5339,Generation X
226,Saint Kitts and Nevis,1990,male,55-74 years,0,2500,0.0,Saint Kitts and Nevis1990,,208740444,5339,G.I. Generation
227,Saint Kitts and Nevis,1990,male,75+ years,0,500,0.0,Saint Kitts and Nevis1990,,208740444,5339,G.I. Generation
228,Saint Kitts and Nevis,1991,female,15-24 years,0,4900,0.0,Saint Kitts and Nevis1991,,209880963,5368,Generation X
229,Saint Kitts and Nevis,1991,female,25-34 years,0,2600,0.0,Saint Kitts and Nevis1991,,209880963,5368,Boomers
230,Saint Kitts and Nevis,1991,female,35-54 years,0,2900,0.0,Saint Kitts and Nevis1991,,209880963,5368,Boomers
231,Saint Kitts and Nevis,1991,female,5-14 years,0,5700,0.0,Saint Kitts and Nevis1991,,209880963,5368,Millenials
232,Saint Kitts and Nevis,1991,female,55-74 years,0,3300,0.0,Saint Kitts and Nevis1991,,209880963,5368,Silent
233,Saint Kitts and Nevis,1991,female,75+ years,0,1000,0.0,Saint Kitts and Nevis1991,,209880963,5368,G.I. Generation
234,Saint Kitts and Nevis,1991,male,15-24 years,0,4900,0.0,Saint Kitts and Nevis1991,,209880963,5368,Generation X
235,Saint Kitts and Nevis,1991,male,25-34 years,0,2400,0.0,Saint Kitts and Nevis1991,,209880963,5368,Boomers
236,Saint Kitts and Nevis,1991,male,35-54 years,0,2400,0.0,Saint Kitts and Nevis1991,,209880963,5368,Boomers
237,Saint Kitts and Nevis,1991,male,5-14 years,0,6000,0.0,Saint Kitts and Nevis1991,,209880963,5368,Millenials
238,Saint Kitts and Nevis,1991,male,55-74 years,0,2500,0.0,Saint Kitts and Nevis1991,,209880963,5368,Silent
239,Saint Kitts and Nevis,1991,male,75+ years,0,500,0.0,Saint Kitts and Nevis1991,,209880963,5368,G.I. Generation
240,Belize,1986,male,25-34 years,1,12100,8.26,Belize1986,,227850000,1552,Boomers
241,Belize,1986,female,15-24 years,1,17800,5.62,Belize1986,,227850000,1552,Generation X
242,Belize,1986,male,15-24 years,1,18200,5.49,Belize1986,,227850000,1552,Generation X
243,Belize,1986,female,25-34 years,0,12200,0.0,Belize1986,,227850000,1552,Boomers
244,Belize,1986,female,35-54 years,0,15500,0.0,Belize1986,,227850000,1552,Silent
245,Belize,1986,female,5-14 years,0,18300,0.0,Belize1986,,227850000,1552,Generation X
246,Belize,1986,female,55-74 years,0,8100,0.0,Belize1986,,227850000,1552,G.I. Generation
247,Belize,1986,female,75+ years,0,1700,0.0,Belize1986,,227850000,1552,G.I. Generation
248,Belize,1986,male,35-54 years,0,14800,0.0,Belize1986,,227850000,1552,Silent
249,Belize,1986,male,5-14 years,0,18900,0.0,Belize1986,,227850000,1552,Generation X
250,Belize,1986,male,55-74 years,0,7600,0.0,Belize1986,,227850000,1552,G.I. Generation
251,Belize,1986,male,75+ years,0,1600,0.0,Belize1986,,227850000,1552,G.I. Generation
252,Saint Kitts and Nevis,1992,female,15-24 years,0,4900,0.0,Saint Kitts and Nevis1992,,229434519,5868,Generation X
253,Saint Kitts and Nevis,1992,female,25-34 years,0,2600,0.0,Saint Kitts and Nevis1992,,229434519,5868,Boomers
254,Saint Kitts and Nevis,1992,female,35-54 years,0,2900,0.0,Saint Kitts and Nevis1992,,229434519,5868,Boomers
255,Saint Kitts and Nevis,1992,female,5-14 years,0,5700,0.0,Saint Kitts and Nevis1992,,229434519,5868,Millenials
256,Saint Kitts and Nevis,1992,female,55-74 years,0,3300,0.0,Saint Kitts and Nevis1992,,229434519,5868,Silent
257,Saint Kitts and Nevis,1992,female,75+ years,0,1000,0.0,Saint Kitts and Nevis1992,,229434519,5868,G.I. Generation
258,Saint Kitts and Nevis,1992,male,15-24 years,0,4900,0.0,Saint Kitts and Nevis1992,,229434519,5868,Generation X
259,Saint Kitts and Nevis,1992,male,25-34 years,0,2400,0.0,Saint Kitts and Nevis1992,,229434519,5868,Boomers
260,Saint Kitts and Nevis,1992,male,35-54 years,0,2400,0.0,Saint Kitts and Nevis1992,,229434519,5868,Boomers
261,Saint Kitts and Nevis,1992,male,5-14 years,0,6000,0.0,Saint Kitts and Nevis1992,,229434519,5868,Millenials
262,Saint Kitts and Nevis,1992,male,55-74 years,0,2500,0.0,Saint Kitts and Nevis1992,,229434519,5868,Silent
263,Saint Kitts and Nevis,1992,male,75+ years,0,500,0.0,Saint Kitts and Nevis1992,,229434519,5868,G.I. Generation
